Disease,Prevalence,Prior_Weight,Typical_Min_Duration_Days,Typical_Max_Duration_Days,Duration_Category,Onset_Type,Progression_Type,Urgency_Level,Typical_Min_Age,Typical_Max_Age,Primary_Age_Group,Gender_Predisposition,Primary_Organ_System,Secondary_Organ_System,Typical_Severity_Level,Case_Fatality_Risk,Hospitalization_Likelihood,Chronicity_Type
acute fatty liver of pregnancy (aflp),Very Rare,0.15,1,14,Subacute,Sudden,Progressive,Emergency,18,45,Young Adult,Female,Gastrointestinal,Reproductive,Severe,High,Almost Always,Acute
acute glaucoma,Rare,0.35,0,2,Very Acute,Sudden,Progressive,Emergency,40,90,Elderly,Slightly Female,Ophthalmological,None,Severe,Very Low,Often,Acute
acute kidney injury,Common,0.75,1,14,Subacute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Genitourinary,Multisystem,Severe,Moderate,Almost Always,Acute
acute otitis media,Very Common,1,3,10,Acute,Sudden,Self-limiting,Moderate,0,12,Child,Both,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
acute pancreatitis,Common,0.75,2,14,Subacute,Sudden,Progressive,Emergency,20,70,Middle Aged,Slightly Male,Gastrointestinal,Endocrine,Moderate to Severe,Moderate,Almost Always,Acute
acute respiratory distress syndrome (ards),Rare,0.35,1,21,Subacute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Respiratory,Cardiovascular,Severe,High,Almost Always,Acute
acute sinusitis,Very Common,1,7,28,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,ENT,Respiratory,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
acute stress reaction,Common,0.75,1,3,Very Acute,Sudden,Self-limiting,Moderate,15,90,All Ages,Both,Psychiatric,None,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
adhesive capsulitis of the shoulder,Common,0.75,180,7300,Chronic,Gradual,Self-limiting,Moderate,40,70,Middle Aged,Slightly Female,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic
adjustment reaction,Common,0.75,14,180,Chronic,Sudden,Self-limiting,Moderate,5,90,All Ages,Both,Psychiatric,None,Mild to Moderate,Very Low,Rare,Subacute
adrenal adenoma,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,30,70,Middle Aged,Slightly Female,Endocrine,None,Mild to Moderate,Very Low,Sometimes,Chronic
adrenal cancer,Very Rare,0.15,90,730,Chronic,Gradual,Progressive,High,0,80,All Ages,Both,Endocrine,None,Severe,High,Often,Chronic Progressive
alcohol abuse,Very Common,1,365,14600,Chronic,Insidious,Progressive,Moderate,15,70,Young Adult,Male,Psychiatric,Multisystem,Moderate,Low,Sometimes,Chronic Progressive
alcohol intoxication,Very Common,1,0,1,Very Acute,Sudden,Self-limiting,High,15,80,Young Adult,Male,Psychiatric,Neurological,Moderate,Low,Sometimes,Acute
alcohol withdrawal,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,25,70,Middle Aged,Male,Neurological,Psychiatric,Moderate to Severe,Low,Often,Acute
alcoholic liver disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,High,30,70,Middle Aged,Male,Gastrointestinal,None,Moderate to Severe,Moderate,Often,Chronic Progressive
allergy,Very Common,1,0,3,Very Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Multisystem,Dermatological,Mild,Very Low,Rare,Acute Self-Limiting
allergy to animals,Very Common,1,0,1,Very Acute,Sudden,Self-limiting,Low,0,90,All Ages,Both,Respiratory,Dermatological,Mild,Very Low,Rare,Chronic
alopecia,Common,0.75,30,10950,Chronic,Gradual,Relapsing,Low,15,80,Young Adult,Both,Dermatological,Autoimmune,Mild,Very Low,Rare,Chronic
alzheimer disease,Common,0.75,1825,7300,Chronic,Insidious,Progressive,Low,60,95,Elderly,Slightly Female,Neurological,Psychiatric,Severe,Low,Sometimes,Chronic Progressive
amblyopia,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,0,7,Child,Both,Ophthalmological,Neurological,Mild,Very Low,Rare,Chronic
amyloidosis,Very Rare,0.15,365,3650,Chronic,Insidious,Progressive,High,50,90,Elderly,Both,Multisystem,Hematological,Severe,Moderate,Often,Chronic Progressive
amyotrophic lateral sclerosis (als),Rare,0.35,730,3650,Chronic,Insidious,Progressive,High,40,80,Middle Aged,Slightly Male,Neurological,Musculoskeletal,Severe,High,Often,Chronic Progressive
anal fissure,Common,0.75,7,42,Chronic,Sudden,Relapsing,Moderate,15,60,Young Adult,Both,Gastrointestinal,None,Mild to Moderate,Very Low,Rare,Acute
anal fistula,Rare,0.35,30,10950,Chronic,Gradual,Progressive,Moderate,20,60,Young Adult,Male,Gastrointestinal,Infectious Disease,Moderate,Very Low,Sometimes,Chronic
anemia,Very Common,1,30,10950,Chronic,Gradual,Progressive,Moderate,0,90,All Ages,Slightly Female,Hematological,Multisystem,Mild to Moderate,Low,Sometimes,Chronic
anemia due to chronic kidney disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,20,90,Middle Aged,Both,Hematological,Genitourinary,Moderate,Low,Sometimes,Chronic Progressive
anemia due to malignancy,Common,0.75,30,365,Chronic,Gradual,Progressive,High,0,90,All Ages,Both,Hematological,Multisystem,Moderate to Severe,Moderate,Often,Chronic Progressive
anemia of chronic disease,Common,0.75,90,10950,Chronic,Insidious,Chronic Stable,Moderate,0,90,All Ages,Both,Hematological,Autoimmune,Moderate,Low,Rare,Chronic
angina,Common,0.75,0,1,Very Acute,Sudden,Relapsing,High,40,90,Middle Aged,Slightly Male,Cardiovascular,None,Moderate,Low,Sometimes,Chronic
ankylosing spondylitis,Rare,0.35,3650,18250,Chronic,Insidious,Progressive,Moderate,15,45,Young Adult,Male,Musculoskeletal,Autoimmune,Moderate,Very Low,Rare,Chronic Progressive
anxiety,Very Common,1,180,10950,Chronic,Gradual,Relapsing,Moderate,10,80,Young Adult,Slightly Female,Psychiatric,None,Mild to Moderate,Very Low,Rare,Chronic
aortic valve disease,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,40,90,Elderly,Slightly Male,Cardiovascular,None,Moderate to Severe,Low,Sometimes,Chronic Progressive
aphakia,Rare,0.35,365,18250,Chronic,Sudden,Chronic Stable,Low,0,90,All Ages,Both,Ophthalmological,None,Mild,Very Low,Rare,Chronic
aphthous ulcer,Very Common,1,4,14,Subacute,Sudden,Relapsing,Low,5,60,Young Adult,Both,ENT,Gastrointestinal,Mild,Very Low,Rare,Acute Self-Limiting
aplastic anemia,Very Rare,0.15,30,365,Chronic,Gradual,Progressive,Emergency,5,70,All Ages,Both,Hematological,Autoimmune,Severe,High,Almost Always,Chronic
appendicitis,Common,0.75,1,4,Acute,Sudden,Progressive,Emergency,5,50,Young Adult,Both,Gastrointestinal,Infectious Disease,Moderate to Severe,Low,Almost Always,Acute
arrhythmia,Common,0.75,0,3650,Chronic,Sudden,Relapsing,High,0,90,All Ages,Both,Cardiovascular,Neurological,Moderate,Low,Sometimes,Chronic
arthritis of the hip,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,50,90,Elderly,Both,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic Progressive
ascending cholangitis,Rare,0.35,1,5,Acute,Sudden,Progressive,Emergency,40,80,Middle Aged,Both,Gastrointestinal,Infectious Disease,Severe,Moderate,Almost Always,Acute
asperger syndrome,Common,0.75,3650,25550,Chronic,Insidious,Chronic Stable,Low,3,18,Child,Male,Psychiatric,Neurological,Mild,Very Low,Rare,Chronic
aspergillosis,Rare,0.35,14,180,Chronic,Gradual,Progressive,High,20,80,Middle Aged,Both,Infectious Disease,Respiratory,Severe,Moderate,Often,Subacute
asthma,Very Common,1,365,25550,Chronic,Sudden,Relapsing,High,0,90,All Ages,Both,Respiratory,Autoimmune,Moderate,Low,Sometimes,Chronic
astigmatism,Very Common,1,3650,25550,Chronic,Insidious,Chronic Stable,Low,0,90,All Ages,Both,Ophthalmological,None,Mild,Very Low,Rare,Chronic
atelectasis,Common,0.75,1,14,Subacute,Sudden,Progressive,High,0,90,All Ages,Both,Respiratory,None,Moderate,Low,Often,Acute
athlete's foot,Very Common,1,7,60,Chronic,Gradual,Relapsing,Low,13,70,Young Adult,Male,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
atonic bladder,Rare,0.35,365,10950,Chronic,Gradual,Chronic Stable,Moderate,40,90,Elderly,Both,Genitourinary,Neurological,Moderate,Very Low,Rare,Chronic
atrial fibrillation,Common,0.75,1,10950,Chronic,Sudden,Relapsing,High,50,95,Elderly,Both,Cardiovascular,None,Moderate,Low,Sometimes,Chronic
atrial flutter,Common,0.75,1,3650,Chronic,Sudden,Relapsing,High,50,95,Elderly,Slightly Male,Cardiovascular,None,Moderate,Low,Sometimes,Chronic
atrophic skin condition,Common,0.75,365,10950,Chronic,Insidious,Progressive,Low,60,95,Elderly,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
atrophic vaginitis,Common,0.75,365,7300,Chronic,Gradual,Progressive,Low,45,90,Middle Aged,Female,Reproductive,Endocrine,Mild,Very Low,Rare,Chronic
atrophy of the corpus cavernosum,Rare,0.35,365,10950,Chronic,Insidious,Progressive,Low,50,90,Elderly,Male,Reproductive,Cardiovascular,Mild,Very Low,Rare,Chronic
attention deficit hyperactivity disorder (adhd),Common,0.75,3650,21900,Chronic,Insidious,Chronic Stable,Low,3,18,Child,Male,Psychiatric,Neurological,Mild,Very Low,Rare,Chronic
autism,Common,0.75,3650,25550,Chronic,Insidious,Chronic Stable,Low,2,18,Child,Male,Psychiatric,Neurological,Moderate,Very Low,Rare,Chronic
autonomic nervous system disorder,Common,0.75,365,10950,Chronic,Gradual,Progressive,Moderate,15,80,Young Adult,Both,Neurological,Cardiovascular,Moderate,Low,Sometimes,Chronic
avascular necrosis,Rare,0.35,180,3650,Chronic,Gradual,Progressive,Moderate,20,60,Young Adult,Slightly Male,Musculoskeletal,Cardiovascular,Moderate to Severe,Very Low,Often,Chronic Progressive
balanitis,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Male,Reproductive,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
bell palsy,Rare,0.35,14,180,Chronic,Sudden,Self-limiting,Moderate,15,80,Young Adult,Both,Neurological,None,Moderate,Very Low,Rare,Acute Self-Limiting
benign kidney cyst,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,40,90,Middle Aged,Both,Genitourinary,None,Mild,Very Low,Rare,Chronic
benign paroxysmal positional vertical (bppv),Common,0.75,1,30,Chronic,Sudden,Relapsing,Moderate,40,90,Elderly,Slightly Female,ENT,Neurological,Moderate,Very Low,Rare,Relapsing-Remitting
benign prostatic hyperplasia (bph),Very Common,1,365,10950,Chronic,Insidious,Progressive,Moderate,50,95,Elderly,Male,Genitourinary,Reproductive,Moderate,Very Low,Rare,Chronic Progressive
benign vaginal discharge (leukorrhea),Very Common,1,2,7,Acute,Gradual,Self-limiting,Low,13,50,Young Adult,Female,Reproductive,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
bipolar disorder,Common,0.75,365,25550,Chronic,Gradual,Relapsing,High,15,50,Young Adult,Both,Psychiatric,None,Moderate,Low,Sometimes,Chronic
birth trauma,Common,0.75,1,3650,Chronic,Sudden,Self-limiting,High,0,0,Infant,Both,Multisystem,Neurological,Moderate to Severe,Low,Often,Acute
bladder cancer,Common,0.75,180,3650,Chronic,Gradual,Progressive,High,50,90,Elderly,Male,Genitourinary,None,Moderate to Severe,Moderate,Often,Chronic Progressive
bladder disorder,Common,0.75,30,3650,Chronic,Gradual,Chronic Stable,Moderate,0,90,All Ages,Both,Genitourinary,None,Mild,Very Low,Rare,Chronic
bladder obstruction,Common,0.75,1,365,Chronic,Gradual,Progressive,High,0,95,All Ages,Slightly Male,Genitourinary,None,Moderate to Severe,Low,Often,Acute
blepharitis,Common,0.75,14,3650,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,Ophthalmological,Dermatological,Mild,Very Low,Rare,Chronic
blepharospasm,Rare,0.35,30,10950,Chronic,Gradual,Relapsing,Low,40,80,Middle Aged,Slightly Female,Neurological,Ophthalmological,Mild to Moderate,Very Low,Rare,Chronic
bone cancer,Rare,0.35,90,1825,Chronic,Gradual,Progressive,High,5,80,All Ages,Both,Musculoskeletal,None,Severe,High,Often,Chronic Progressive
bone disorder,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Chronic
bone spur of the calcaneous,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,40,80,Middle Aged,Both,Musculoskeletal,None,Mild,Very Low,Rare,Chronic
brachial neuritis,Rare,0.35,14,365,Chronic,Sudden,Self-limiting,Moderate,20,70,Middle Aged,Both,Neurological,Musculoskeletal,Moderate,Very Low,Rare,Acute
brain cancer,Rare,0.35,60,1095,Chronic,Gradual,Progressive,Emergency,0,85,All Ages,Both,Neurological,None,Severe,High,Almost Always,Chronic Progressive
breast cancer,Common,0.75,180,7300,Chronic,Gradual,Progressive,High,30,80,Middle Aged,Female,Reproductive,None,Severe,Moderate,Often,Chronic Progressive
breast cyst,Common,0.75,30,3650,Chronic,Gradual,Chronic Stable,Moderate,20,55,Young Adult,Female,Reproductive,None,Mild,Very Low,Rare,Chronic
breast infection (mastitis),Common,0.75,3,14,Subacute,Sudden,Self-limiting,Moderate,18,50,Young Adult,Female,Reproductive,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute
broken tooth,Common,0.75,1,10950,Chronic,Sudden,Chronic Stable,Moderate,0,90,All Ages,Both,ENT,None,Mild,Very Low,Rare,Acute
bunion,Common,0.75,365,10950,Chronic,Gradual,Progressive,Low,20,85,Middle Aged,Female,Musculoskeletal,None,Mild,Very Low,Rare,Chronic Progressive
burn,Common,0.75,7,180,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Both,Dermatological,Multisystem,Moderate to Severe,Moderate,Sometimes,Acute
bursitis,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,25,80,Middle Aged,Both,Musculoskeletal,None,Mild,Very Low,Rare,Acute
callus,Very Common,1,30,3650,Chronic,Gradual,Chronic Stable,Low,10,95,All Ages,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
carbon monoxide poisoning,Rare,0.35,0,1,Very Acute,Sudden,Self-limiting,Emergency,0,90,All Ages,Both,Multisystem,Cardiovascular,Severe,High,Almost Always,Acute
carcinoid syndrome,Very Rare,0.15,365,3650,Chronic,Insidious,Progressive,Moderate,40,80,Middle Aged,Both,Endocrine,Gastrointestinal,Moderate to Severe,Moderate,Often,Chronic Progressive
cardiac arrest,Rare,0.35,0,1,Very Acute,Sudden,Progressive,Emergency,0,95,All Ages,Slightly Male,Cardiovascular,Multisystem,Severe,High,Almost Always,Acute
cardiomyopathy,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,0,90,All Ages,Both,Cardiovascular,None,Moderate to Severe,Low,Often,Chronic Progressive
carpal tunnel syndrome,Common,0.75,90,10950,Chronic,Gradual,Progressive,Moderate,30,70,Middle Aged,Female,Neurological,Musculoskeletal,Mild to Moderate,Very Low,Rare,Chronic
cat scratch disease,Rare,0.35,7,42,Chronic,Sudden,Self-limiting,Low,2,30,Child,Both,Infectious Disease,Hematological,Mild,Very Low,Rare,Acute Self-Limiting
cataract,Very Common,1,365,7300,Chronic,Insidious,Progressive,Moderate,45,95,Elderly,Both,Ophthalmological,None,Moderate,Very Low,Rare,Chronic Progressive
celiac disease,Common,0.75,365,25550,Chronic,Gradual,Progressive,Moderate,1,70,All Ages,Slightly Female,Gastrointestinal,Autoimmune,Moderate,Very Low,Rare,Chronic
cellulitis or abscess of mouth,Common,0.75,2,10,Acute,Sudden,Progressive,High,0,90,All Ages,Both,ENT,Infectious Disease,Moderate,Low,Sometimes,Acute
central atherosclerosis,Common,0.75,3650,18250,Chronic,Insidious,Progressive,High,45,95,Elderly,Slightly Male,Cardiovascular,None,Moderate,Low,Rare,Chronic Progressive
central retinal artery or vein occlusion,Rare,0.35,0,1,Very Acute,Sudden,Progressive,Emergency,50,90,Elderly,Both,Ophthalmological,Cardiovascular,Severe,Very Low,Often,Acute
cerebral edema,Rare,0.35,1,7,Acute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Neurological,None,Severe,High,Almost Always,Acute
cerebral palsy,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,0,2,Infant,Both,Neurological,Musculoskeletal,Severe,Very Low,Rare,Chronic
cervical cancer,Common,0.75,365,3650,Chronic,Insidious,Progressive,High,30,70,Middle Aged,Female,Reproductive,None,Severe,Moderate,Often,Chronic Progressive
cervical disorder,Common,0.75,30,10950,Chronic,Gradual,Chronic Stable,Moderate,18,85,Young Adult,Both,Musculoskeletal,Neurological,Mild,Very Low,Rare,Chronic
cervicitis,Common,0.75,7,30,Chronic,Gradual,Self-limiting,Moderate,18,55,Young Adult,Female,Reproductive,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
chalazion,Common,0.75,14,60,Chronic,Gradual,Self-limiting,Low,5,80,All Ages,Both,Ophthalmological,None,Mild,Very Low,Rare,Acute Self-Limiting
chickenpox,Common,0.75,7,14,Subacute,Sudden,Self-limiting,Moderate,1,30,Child,Both,Infectious Disease,Dermatological,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
chlamydia,Common,0.75,7,60,Chronic,Gradual,Progressive,Moderate,15,45,Young Adult,Both,Infectious Disease,Reproductive,Mild,Very Low,Rare,Acute
cholecystitis,Common,0.75,1,7,Acute,Sudden,Progressive,High,30,80,Middle Aged,Slightly Female,Gastrointestinal,Infectious Disease,Moderate to Severe,Low,Often,Acute
choledocholithiasis,Common,0.75,1,14,Subacute,Sudden,Progressive,Emergency,30,85,Middle Aged,Both,Gastrointestinal,None,Moderate to Severe,Low,Often,Acute
cholesteatoma,Rare,0.35,365,3650,Chronic,Insidious,Progressive,Moderate,5,60,All Ages,Both,ENT,None,Moderate,Very Low,Sometimes,Chronic Progressive
chondromalacia of the patella,Common,0.75,180,10950,Chronic,Gradual,Progressive,Moderate,15,40,Young Adult,Slightly Female,Musculoskeletal,None,Mild,Very Low,Rare,Chronic
chorioretinitis,Rare,0.35,14,90,Chronic,Gradual,Progressive,High,0,80,All Ages,Both,Ophthalmological,Infectious Disease,Moderate,Very Low,Sometimes,Subacute
chronic back pain,Very Common,1,90,14600,Chronic,Gradual,Chronic Stable,Moderate,18,90,Middle Aged,Both,Musculoskeletal,Neurological,Moderate,Very Low,Rare,Chronic
chronic constipation,Very Common,1,30,14600,Chronic,Gradual,Chronic Stable,Low,0,95,All Ages,Both,Gastrointestinal,None,Mild,Very Low,Rare,Chronic
chronic glaucoma,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,45,95,Elderly,Both,Ophthalmological,None,Moderate,Very Low,Rare,Chronic Progressive
chronic inflammatory demyelinating polyneuropathy (cidp),Very Rare,0.15,60,3650,Chronic,Gradual,Progressive,Moderate,30,80,Middle Aged,Slightly Male,Neurological,Autoimmune,Moderate to Severe,Low,Sometimes,Chronic Progressive
chronic kidney disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,High,10,95,Middle Aged,Both,Genitourinary,Multisystem,Moderate to Severe,Moderate,Often,Chronic Progressive
chronic knee pain,Very Common,1,90,14600,Chronic,Gradual,Chronic Stable,Low,30,95,Middle Aged,Both,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic
chronic obstructive pulmonary disease (copd),Common,0.75,365,10950,Chronic,Insidious,Progressive,High,40,95,Elderly,Slightly Male,Respiratory,None,Moderate to Severe,Low,Sometimes,Chronic Progressive
chronic otitis media,Common,0.75,30,7300,Chronic,Gradual,Relapsing,Moderate,2,70,All Ages,Both,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Chronic
chronic pain disorder,Common,0.75,90,18250,Chronic,Gradual,Chronic Stable,Moderate,18,90,All Ages,Both,Psychiatric,Neurological,Moderate,Very Low,Rare,Chronic
chronic pancreatitis,Rare,0.35,365,7300,Chronic,Gradual,Progressive,High,30,75,Middle Aged,Slightly Male,Gastrointestinal,Endocrine,Moderate to Severe,Low,Often,Chronic Progressive
chronic rheumatic fever,Rare,0.35,365,10950,Chronic,Sudden,Relapsing,High,5,30,Child,Both,Cardiovascular,Autoimmune,Moderate,Low,Sometimes,Chronic
chronic sinusitis,Common,0.75,90,3650,Chronic,Gradual,Relapsing,Moderate,5,90,All Ages,Both,ENT,Respiratory,Mild to Moderate,Very Low,Rare,Chronic
chronic ulcer,Common,0.75,30,365,Chronic,Gradual,Progressive,Moderate,40,95,Elderly,Both,Dermatological,Cardiovascular,Moderate,Very Low,Rare,Chronic
cirrhosis,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,30,80,Middle Aged,Slightly Male,Gastrointestinal,Multisystem,Severe,Moderate,Often,Chronic Progressive
coagulation (bleeding) disorder,Common,0.75,365,25550,Chronic,Gradual,Progressive,High,0,85,All Ages,Both,Hematological,None,Moderate to Severe,Moderate,Sometimes,Chronic
cold sore,Very Common,1,7,14,Subacute,Sudden,Relapsing,Low,2,85,All Ages,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Relapsing-Remitting
colonic polyp,Common,0.75,365,3650,Chronic,Insidious,Progressive,Moderate,45,90,Middle Aged,Both,Gastrointestinal,None,Mild,Very Low,Rare,Chronic
colorectal cancer,Common,0.75,365,3650,Chronic,Insidious,Progressive,High,45,90,Elderly,Slightly Male,Gastrointestinal,None,Severe,Moderate,Often,Chronic Progressive
common cold,Very Common,1,3,10,Acute,Sudden,Self-limiting,Low,0,90,All Ages,Both,Respiratory,ENT,Mild,Very Low,Rare,Acute Self-Limiting
complex regional pain syndrome,Rare,0.35,180,10950,Chronic,Sudden,Progressive,Moderate,30,70,Middle Aged,Slightly Female,Neurological,Musculoskeletal,Moderate to Severe,Very Low,Rare,Chronic
concussion,Common,0.75,1,14,Subacute,Sudden,Self-limiting,High,0,90,All Ages,Both,Neurological,None,Moderate,Low,Sometimes,Acute
conduct disorder,Common,0.75,365,5475,Chronic,Gradual,Chronic Stable,Moderate,5,18,Child,Male,Psychiatric,None,Moderate,Very Low,Rare,Chronic
conductive hearing loss,Common,0.75,365,18250,Chronic,Gradual,Chronic Stable,Moderate,0,90,All Ages,Both,ENT,None,Mild to Moderate,Very Low,Rare,Chronic
congenital heart defect,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,High,0,5,Infant,Both,Cardiovascular,None,Moderate to Severe,Moderate,Often,Chronic
congenital malformation syndrome,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,0,5,Infant,Both,Multisystem,None,Severe,Moderate,Often,Chronic
conjunctivitis,Very Common,1,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Ophthalmological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
conjunctivitis due to allergy,Very Common,1,1,7,Acute,Sudden,Relapsing,Low,5,70,All Ages,Both,Ophthalmological,Autoimmune,Mild,Very Low,Rare,Relapsing-Remitting
conjunctivitis due to bacteria,Common,0.75,5,14,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Ophthalmological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
conjunctivitis due to virus,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Ophthalmological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
connective tissue disorder,Common,0.75,365,18250,Chronic,Insidious,Progressive,Moderate,15,75,Young Adult,Slightly Female,Autoimmune,Musculoskeletal,Moderate,Low,Rare,Chronic
contact dermatitis,Very Common,1,3,14,Subacute,Sudden,Self-limiting,Low,0,90,All Ages,Both,Dermatological,Autoimmune,Mild,Very Low,Rare,Acute
conversion disorder,Rare,0.35,7,365,Chronic,Sudden,Relapsing,Moderate,15,50,Young Adult,Slightly Female,Psychiatric,Neurological,Moderate,Very Low,Rare,Subacute
cornea infection,Common,0.75,3,14,Subacute,Sudden,Progressive,High,0,90,All Ages,Both,Ophthalmological,Infectious Disease,Moderate to Severe,Very Low,Sometimes,Acute
corneal abrasion,Common,0.75,1,5,Acute,Sudden,Self-limiting,High,0,90,All Ages,Both,Ophthalmological,None,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
corneal disorder,Common,0.75,30,10950,Chronic,Gradual,Chronic Stable,Moderate,0,90,All Ages,Both,Ophthalmological,None,Mild to Moderate,Very Low,Rare,Chronic
coronary atherosclerosis,Very Common,1,3650,18250,Chronic,Insidious,Progressive,High,35,95,Middle Aged,Slightly Male,Cardiovascular,None,Moderate,Low,Sometimes,Chronic Progressive
cranial nerve palsy,Rare,0.35,14,365,Chronic,Sudden,Relapsing,Moderate,0,90,All Ages,Both,Neurological,None,Moderate,Very Low,Rare,Subacute
crohn disease,Common,0.75,365,18250,Chronic,Gradual,Relapsing,Moderate,15,45,Young Adult,Both,Gastrointestinal,Autoimmune,Moderate to Severe,Low,Sometimes,Chronic
